shipment_key,shipment_id,supplier_key,carrier_key,route_key,warehouse_key,product_key,order_date,promised_date,actual_date,status,delay_days,shipment_cost,weight_kg,quantity
3389,SHP-03389,180,58,145,30,246,2023-11-10,2023-11-30,2023-11-29,Returned,0,12433.65,1360.82,928
3390,SHP-03390,7,41,23,23,7,2023-08-05,2023-08-17,2023-08-17,,0,21641.13,1639.42,27
3391,SHP-03391,66,12,48,2,133,2023-09-16,2023-09-30,2023-10-23,,23,3336.63,683.69,607
3392,SHP-03392,246,29,39,14,11,2021-10-09,2021-10-19,2021-10-19,Returned,0,10244.59,2373.28,686
3393,SHP-03393,217,38,93,14,191,2023-07-25,2023-08-02,,Delivered,, ,2223.3,510
3394,SHP-03394,27,19,64,27,238,2023-01-15,2023-01-21,,In Transit,,17809.98,3684.44,123
3395,SHP-03395,68,42,31,20,77,2021-04-21,2021-05-01,2021-05-17,Delivered,16,21665.29,2792.09,34
3396,SHP-03396,245,23,5,34,140,2021-11-12,2021-11-24,2021-11-22,Delayed,0,5536.1,3497.73,50
3397,SHP-03397,100,23,62,31,12,2021-01-03,2021-01-17,2021-01-28,In Transit,11,247.77,3532.56,993
3398,SHP-03398,61,18,79,2,47,2022-06-05,2022-06-21,2022-06-19,Returned,0,18935.0, ,101
3399,SHP-03399,148,16,98,35,58,2023-07-27,2023-08-08,2023-08-06,Delivered,0,6142.89,,645
3400,SHP-03400,100,2,102,24,49,2022-09-05,2022-09-07,2022-09-11,Delivered,4,16576.4,3140.37,798
3401,SHP-03401,191,21,127,29,247,2022-09-20,2022-10-11,2022-10-11,Delayed,0,20068.65,3017.21, 
3402,SHP-03402,55,5,179,10,176,2022-01-25,2022-02-18,2022-02-17,Delivered,0,21992.79,964.88,642
3403,SHP-03403,9,29,190,32,201,2021-06-02,2021-06-25,2021-06-29,Delivered,4,10811.2,3633.82,
3404,SHP-03404,131,43,130,20,239,2024-02-19,2024-03-10,2024-03-08,Delayed,0,20329.11,3467.98,395
3405,SHP-03405,12,7,69,4,93,2022-02-14,2022-02-21,2022-02-20,Returned,0, ,899.81,301
3406,SHP-03406,55,55,125,12,95,2022-09-17,2022-09-24,2022-09-24,Returned,0,5907.93,2576.37,607
3407,SHP-03407,42,1,29,39,35,2023-11-26,2023-11-27,2023-12-08,In Transit,11,12606.16,88.76,861
3408,SHP-03408,140,6,181,30,218,2023-02-17,2023-03-11,2023-03-10,Delivered,0,11214.14,1821.12,354
3409,SHP-03409,66,41,197,6,23,2023-02-11,2023-02-14,,Delayed,,3134.25,2059.61,
3410,SHP-03410,135,38,92,26,69,2021-02-02,2021-02-19,2021-03-12,Delayed,21,13632.52,1608.22,265
3411,SHP-03411,92,27,89,25,58,2021-10-14,2021-10-26,2021-11-06,Delivered,11,16615.21,33.61,453
3412,SHP-03412,7,11,65,12,6,2022-03-03,2022-03-19,2022-03-28,Delivered,9,13412.69,126.29,
3413,SHP-03413,121,19,77,8,25,2021-05-28,2021-06-02,2021-06-01,Delayed,0,21796.88,3349.08,778
3414,SHP-03414,182,40,66,4,169,2021-09-22,2021-10-16,2021-10-14,Delivered,0,16190.25,2431.63,647
3415,SHP-03415,172,55,129,37,154,2022-08-12,2022-08-28,2022-08-26,Delivered,0,10609.37,3152.99,302
3416,SHP-03416,120,16,196,14,51,2021-06-04,2021-06-25,2021-07-03,Delivered,8,13118.19,1752.14,
3417,SHP-03417,75,40,115,15,72,2021-04-05,2021-04-25,2021-04-24,Returned,0,6099.35,2962.37,160
3418,SHP-03418,4,5,200,24,33,2022-09-19,2022-09-29,2022-09-28,Delivered,0,10632.9,4256.68,256
3419,SHP-03419,187,36,135,27,99,2021-12-05,2021-12-29,2022-01-19,In Transit,21,12909.01,2662.81,436
3420,SHP-03420,68,37,175,19,93,2021-03-09,2021-03-26,2021-03-26,Delivered,0,2314.54,2928.4,177
3421,SHP-03421,14,55,124,13,15,2023-07-10,2023-07-11,2023-07-27, ,16,18346.05,3780.5,163
3422,SHP-03422,213,49,96,8,241,2023-11-13,2023-11-17,,Delivered,,4980.1,4749.98,697
3423,SHP-03423,246,54,96,37,19,2023-06-24,2023-07-19,2023-07-17,Delivered,0,15383.77,2538.96,460
3424,SHP-03424,229,8,123,6,78,2023-05-12,2023-05-25,2023-05-24,Delivered,0,3276.57,1252.92,222
3425,SHP-03425,181,52,82,6,99,2023-09-18,2023-09-24,2023-09-24,Delivered,0,21668.92,1420.27,102
3426,SHP-03426,206,1,171,39,70,2022-08-01,2022-08-11,2022-08-11,Delivered,0,,2595.2,531
3427,SHP-03427,152,28,85,37,179,2021-11-23,2021-11-24,2021-11-23,Delayed,0,15343.69,4302.64,606
3428,SHP-03428,178,38,175,8,109,2021-06-13,2021-06-21,2021-07-09,Delivered,18,14631.54,2596.7,459
3429,SHP-03429,188,28,141,12,6,2023-09-23,2023-09-26,2023-09-25,Delivered,0,11618.57,2461.41,548
3430,SHP-03430,239,45,22,24,241,2022-02-17,2022-03-07,2022-03-06,Returned,0,13501.97,330.12,971
3431,SHP-03431,217,35,126,13,70,2021-02-07,2021-02-20,2021-02-18,Delivered,0,12213.1,1902.73,868
3432,SHP-03432,147,21,75,2,36,2023-11-14,2023-11-16,2023-11-15,Delivered,0,8942.72,1872.66,713
3433,SHP-03433,89,30,25,15,209,2022-01-29,2022-02-02,2022-02-02,Delivered,0,15131.31,3065.24,392
3434,SHP-03434,45,15,133,29,207,2024-06-06,2024-06-18,2024-06-18,Returned,0,7713.35,841.96,646
3435,SHP-03435,224,45,48,28,37,2024-01-03,2024-01-23,2024-01-23,Returned,0,6571.32, ,3
3436,SHP-03436,47,46,114,9,113,2024-02-28,2024-03-05,2024-03-30,In Transit,25,9425.78,27.92,878
3437,SHP-03437,83,43,62,31,199,2021-10-06,2021-10-08,2021-10-07,Delivered,0,14280.24,2886.93,17
3438,SHP-03438,32,55,114,4,72,2022-06-08,2022-06-20,2022-06-18,Returned,0,,2003.46,578
3439,SHP-03439,247,14,116,40,134,2024-03-31,2024-04-23,2024-04-23,Delivered,0,13680.31,2921.78,930
3440,SHP-03440,236,56,125,1,197,2021-03-01,2021-03-03,2021-03-18,Delivered,15,11721.19,3552.13,593
3441,SHP-03441,33,40,147,14,208,2024-02-24,2024-03-10,2024-03-10,Delivered,0,6673.64,1337.58,46
3442,SHP-03442,171,47,68,10,128,2021-10-20,2021-10-24,2021-10-31,Cancelled,7,,2943.48,349
3443,SHP-03443,78,53,139,36,165,2021-02-19,2021-03-10,2021-03-10,Returned,0, ,3881.95,937
3444,SHP-03444,140,52,182,26,133,2022-03-21,2022-03-23,2022-03-21,,0,19019.85,4622.3,703
3445,SHP-03445,44,51,138,26,249,2023-01-26,2023-02-13,2023-03-01,Returned,16,17392.13,2196.82,160
3446,SHP-03446,100,24,140,35,230,2022-06-05,2022-06-11,2022-06-11,Delivered,0,2149.63,4216.74,498
3447,SHP-03447,205,41,70,8,214,2022-09-04,2022-09-06,2022-09-05,Delivered,0,,351.12,830
3448,SHP-03448,105,47,47,6,97,2024-02-10,2024-02-14,2024-02-28,Delayed,14,2316.86,4078.99,935
3449,SHP-03449,55,12,150,23,192,2024-02-23,2024-03-03,2024-03-01,Delivered,,1620.57,4026.47,134
3450,SHP-03450,71,51,195,30,233,2022-09-01,2022-09-02,2022-09-01,Delayed,0,20890.65,3725.49,504
3451,SHP-03451,73,60,74,23,122,2021-10-09,2021-10-25,2021-10-25,Returned,0,912.08,1543.62,18
3452,SHP-03452,7,30,168,36,198,2021-05-31,2021-06-19,2021-06-17,Cancelled,0,15393.38,370.34,94
3453,SHP-03453,75,12,119,8,218,2021-06-08,2021-06-16,2021-06-14,Delivered,0,,286.71,228
3454,SHP-03454,205,53,195,7,108,2022-03-27,2022-04-20,2022-04-30,Delayed,10,6611.27,668.68,323
3455,SHP-03455,178,24,110,20,105,2022-08-19,2022-08-21,2022-08-20,In Transit,0,5872.96,3185.91,918
3456,SHP-03456,92,41,149,40,183,2023-03-20,2023-03-27,2023-03-27,Delivered,0,3154.16,1928.44,957
3457,SHP-03457,66,37,183,6,57,2023-09-05,2023-09-25,2023-10-10,Delayed,15,9266.85,2110.49,958
3458,SHP-03458,91,13,180,9,224,2022-09-12,2022-10-05,2022-10-04,Delivered,0,4753.87,709.24,719
3459,SHP-03459,215,4,86,33,26,2022-08-05,2022-08-29,2022-08-27,Delivered,0,,2861.06,968
3460,SHP-03460,53,40,118,37,193,2024-06-19,2024-07-07,2024-07-19,Delivered,12,1355.15,428.21,493
3461,SHP-03461,85,4,169,14,83,2021-03-09,2021-03-11,,Returned,,,247.38,992
3462,SHP-03462,171,44,144,22,150,2022-07-12,2022-07-24,2022-08-07,Delivered,14,15396.27,876.46,705
3463,SHP-03463,45,59,69,5,156,2022-10-21,2022-10-22,2022-10-22,Delivered,0,20038.34,3071.16,378
3464,SHP-03464,141,3,172,16,39,2023-06-19,2023-06-23,2023-06-22,Delivered,0,1108.93,546.05,1
3465,SHP-03465,108,22,19,20,214,2022-12-29,2023-01-05,2023-01-04,Delivered,0,18200.65,605.76,843
3466,SHP-03466,4,12,32,24,54,2024-01-23,2024-01-27,2024-01-27,Delivered,0,9044.39,888.85,506
3467,SHP-03467,39,8,52,5,249,2024-01-22,2024-02-16,2024-02-15,Delivered,0,13832.75,4634.71,204
3468,SHP-03468,46,6,86,15,152,2022-01-14,2022-01-24,2022-02-16,Delayed,23,2906.21,4800.09,825
3469,SHP-03469,73,17,116,24,57,2022-07-20,2022-07-29,2022-08-11,Delivered,,2571.43,1716.18,282
3470,SHP-03470,244,28,160,18,17,2024-06-21,2024-06-28,2024-06-28,Delivered,,20279.16,944.43,984
3471,SHP-03471,130,28,143,25,23,2023-06-27,2023-07-09,2023-07-10,Cancelled,1,8564.83,1680.66,523
3472,SHP-03472,16,31,33,37,65,2021-10-16,2021-10-23,2021-10-21,Returned,0,146.63,2396.56,720
3473,SHP-03473,133,26,64,14,140,2023-12-20,2023-12-31,2023-12-31,Delayed,0,2242.32,3781.95,767
3474,SHP-03474,159,15,146,17,42,2024-03-28,2024-04-12,2024-04-11,Delivered,,6392.82,1793.06,761
3475,SHP-03475,4,19,14,12,143,2023-07-01,2023-07-07,2023-07-05,Returned,0,2736.81,2083.49,778
3476,SHP-03476,41,40,151,10,69,2023-08-10,2023-08-20,,Cancelled,,8522.72,1028.34,536
3477,SHP-03477,240,52,160,25,7,2022-08-05,2022-08-10,2022-08-21,Delayed,11,6938.76,1239.05,683
3478,SHP-03478,169,31,72,23,203,2023-03-14,2023-04-06,2023-04-20,Delivered,14,2501.33,1478.5,763
3479,SHP-03479,99,24,150,12,122,2022-06-10,2022-06-22,2022-06-20,Delivered,0,14636.41,4194.43,517
3480,SHP-03480,127,8,145,23,155,2024-05-08,2024-05-28,2024-05-26,Delivered,0,9128.2,4547.12,915
3481,SHP-03481,139,33,73,20,12,2021-06-15,2021-07-06,2021-07-30,Delivered,24,5078.09,3396.28,593
3482,SHP-03482,220,35,35,34,67,2021-08-27,2021-09-05,2021-09-03,Delivered,,2027.81,1885.16,147
3483,SHP-03483,238,39,145,24,30,2022-06-22,2022-07-16,2022-07-31,Returned,15,5895.45,4675.78,949
3484,SHP-03484,191,15,101,22,32,2021-11-27,2021-12-01,2021-11-29,Delivered,0,14081.31,2217.95,434
3485,SHP-03485,97,51,131,12,29,2023-10-29,2023-11-05,2023-11-04, ,,3692.41,3818.37,167
3486,SHP-03486,159,43,85,6,160,2021-10-09,2021-10-10,2021-10-10,In Transit,0,17193.82,4636.21,456
3487,SHP-03487,203,60,146,40,132,2023-06-05,2023-06-26,2023-07-05, ,9,8031.71,868.93,372
3488,SHP-03488,73,23,144,21,234,2023-11-26,2023-12-07,2023-12-06,Delivered,0,13489.43,166.6,600
3489,SHP-03489,130,43,177,37,103,2022-10-06,2022-10-16,2022-10-18,Returned,2,10002.66,3922.86,114
3490,SHP-03490,113,6,156,23,248,2023-07-07,2023-07-15,2023-07-27,Delivered,12,18579.98,1077.69,4
3491,SHP-03491,217,54,122,18,204,2022-12-31,2023-01-16,2023-01-16,In Transit,0,2714.86,631.48,708
3492,SHP-03492,181,4,33,25,161,2024-02-16,2024-03-11,2024-03-10, ,0,14180.57,1965.99,529
3493,SHP-03493,85,35,84,12,48,2023-11-14,2023-11-29,2023-11-27,Returned,0,21188.46, ,642
3494,SHP-03494,96,56,144,36,45,2023-11-05,2023-11-22,2023-11-21,Cancelled,0,6071.14,52.43,
3495,SHP-03495,247,2,155,31,13,2023-12-18,2024-01-02,2024-01-10,Cancelled,8,12982.9,3462.77,
3496,SHP-03496,25,21,85,22,47,2023-05-25,2023-06-03,2023-06-02,Cancelled,0,1672.21,1601.9,992
3497,SHP-03497,229,33,167,15,153,2022-06-17,2022-07-08,2022-07-13,Returned,5, , ,235
3498,SHP-03498,53,17,84,4,213,2022-12-20,2022-12-27,2023-01-21,In Transit,25,18476.35,4019.15,774
3499,SHP-03499,120,1,169,36,225,2024-02-02,2024-02-21,2024-02-19,Cancelled,0,19901.15,2441.29,393
3500,SHP-03500,142,47,71,2,212,2021-05-07,2021-05-20,2021-05-19,In Transit,0,1412.1,140.08,554
3501,SHP-03501,50,21,58,7,117,2021-07-19,2021-08-10,, ,,13684.55,4561.19,910
3502,SHP-03502,21,19,142,7,36,2022-01-25,2022-02-18,2022-02-28,In Transit,10,7946.9,3255.4,255
3503,SHP-03503,247,47,167,40,105,2023-04-30,2023-05-24,2023-05-24,Delayed,0,15334.36,3180.28,550
3504,SHP-03504,218,18,113,4,246,2023-10-23,2023-11-10,,Delivered,,9062.92,3054.04,416
3505,SHP-03505,206,42,199,39,66,2024-05-28,2024-06-04,2024-06-02,Delayed,0,2372.06,1220.75,892
3506,SHP-03506,44,52,193,15,15,2024-06-17,2024-06-24,2024-07-15,Delivered,21,18880.77,1252.39,64
3507,SHP-03507,20,33,64,29,105,2023-09-11,2023-09-27,2023-10-07,In Transit,10,792.43,4652.49,14
3508,SHP-03508,12,19,118,1,131,2024-06-15,2024-06-18,2024-06-21,Returned,3,11919.04,3778.6,57
3509,SHP-03509,178,5,145,22,20,2022-07-03,2022-07-12,2022-07-11,Delivered,0,18563.13,2029.82,997
3510,SHP-03510,77,52,112,12,175,2021-06-27,2021-06-28,2021-06-27,Delivered,0,19774.8,4679.31,350
3511,SHP-03511,230,29,43,11,46,2021-01-23,2021-01-24,2021-02-10,Returned,17,20221.36,1492.02,316
3512,SHP-03512,74,35,143,5,185,2023-11-05,2023-11-17,,Delayed,,21225.05,391.1,578
3513,SHP-03513,115,31,116,16,23,2021-04-02,2021-04-26,2021-04-26,Delayed,0,20729.65,2954.41, 
3514,SHP-03514,81,8,178,23,171,2021-07-19,2021-07-20,2021-07-19,Delivered,0,21644.24,4564.55,339
3515,SHP-03515,151,30,198,40,209,2021-05-20,2021-06-10,, ,,538.07,4100.52,485
3516,SHP-03516,9,21,171,37,236,2023-12-05,2023-12-23,2023-12-23,Returned,0,16668.56,235.04,792
3517,SHP-03517,184,27,123,16,34,2023-01-15,2023-01-26,2023-01-24,Cancelled,0,1087.19,1116.71,480
3518,SHP-03518,54,36,8,24,117,2023-02-04,2023-02-13,2023-02-12,Cancelled,,3954.73,1073.71,508
3519,SHP-03519,68,11,135,37,223,2021-08-28,2021-09-02,2021-09-26,Delayed,24,8519.25,2612.39,186
3520,SHP-03520,104,33,135,37,85,2021-05-01,2021-05-22,2021-05-22,In Transit,0,6478.03,15.15,733
3521,SHP-03521,33,7,123,39,84,2023-11-04,2023-11-24,2023-11-24,Delivered,0,14800.25,1147.38,944
3522,SHP-03522,80,44,197,19,231,2022-03-07,2022-03-17,2022-03-15,Delayed,0,,1561.1,26
3523,SHP-03523,5,17,113,18,205,2021-07-17,2021-07-30,2021-07-30,Delayed,0,6403.65, ,225
3524,SHP-03524,152,60,2,9,186,2021-09-14,2021-09-18,2021-09-20,,2,19199.64,130.94,786
3525,SHP-03525,61,2,194,36,241,2024-02-20,2024-03-13,2024-03-11,Returned,0,11095.29,703.82,64
3526,SHP-03526,179,51,112,4,23,2023-06-30,2023-07-15,2023-07-28,Delayed,13,20191.6,1128.63,912
3527,SHP-03527,128,51,150,11,246,2022-10-28,2022-11-20,2022-12-07,Returned,17, ,1456.19,70
3528,SHP-03528,62,55,179,31,36,2021-08-15,2021-08-20,2021-08-18,In Transit,0,2131.02, ,600
3529,SHP-03529,181,27,54,17,142,2021-02-25,2021-02-28,2021-02-27,In Transit,0,10231.02,670.55,94
3530,SHP-03530,63,48,165,39,221,2021-07-04,2021-07-12,2021-07-14,Delivered,2,19340.71,3209.32,118
3531,SHP-03531,17,3,112,5,147,2022-05-06,2022-05-07,2022-05-07,Cancelled,0,3719.82,1403.9,
3532,SHP-03532,99,50,29,20,92,2022-12-13,2023-01-06,2023-01-06,Delivered,0,4539.23,3481.05,198
3533,SHP-03533,20,12,87,5,73,2021-02-05,2021-02-27,2021-03-02,Returned,3,1346.59,2319.55,208
3534,SHP-03534,183,11,18,10,21,2021-12-07,2022-01-01,2021-12-30,Delivered,0,20248.85,3383.43,65
3535,SHP-03535,247,45,92,30,59,2022-05-07,2022-05-14,2022-05-14, ,,5244.48,4654.74,455
3536,SHP-03536,198,22,156,18,191,2023-08-17,2023-09-10,2023-09-09,Delivered,0,573.82,1540.25,491
3537,SHP-03537,82,24,40,9,211,2021-01-13,2021-01-20,2021-01-19,Delivered,0,,2966.19,999
3538,SHP-03538,193,26,189,13,38,2023-02-06,2023-02-17,,Delivered,,3802.62,4333.6,94
3539,SHP-03539,231,15,28,5,32,2022-12-21,2023-01-01,2022-12-31,Delivered,0,4256.06,54.15,827
3540,SHP-03540,223,24,186,12,190,2022-05-15,2022-05-31,2022-06-07,Delayed,7, ,902.21,968
3541,SHP-03541,57,14,12,39,168,2021-11-07,2021-11-10,2021-11-10,Delivered,0,12129.11,244.34,584
3542,SHP-03542,131,10,144,37,105,2021-05-10,2021-05-17,2021-05-15,Returned,0,17877.56,,777
3543,SHP-03543,64,57,95,33,184,2023-11-04,2023-11-25,2023-11-29,Delivered,4,20310.39,4976.7,184
3544,SHP-03544,14,12,72,19,108,2024-02-24,2024-02-25,2024-02-23,Cancelled,0,20931.53,2501.33,570
3545,SHP-03545,150,12,176,31,8,2022-06-20,2022-06-29,2022-07-06,Returned,7,13978.69,,743
3546,SHP-03546,10,6,78,30,100,2021-10-25,2021-11-13,2021-11-29,Delivered,16,17533.86,4632.65,568
3547,SHP-03547,107,44,135,7,70,2024-01-13,2024-02-01,2024-02-01,Delivered,0,13388.91,4477.82,783
3548,SHP-03548,167,49,45,27,49,2021-04-21,2021-05-16,2021-05-25,Delivered,9,21193.83,2107.02,905
3549,SHP-03549,181,19,79,28,100,2022-03-23,2022-04-01,2022-03-31,Delivered,0,10479.5,4415.33,825
3550,SHP-03550,43,43,55,22,229,2023-02-04,2023-02-21,2023-02-19,In Transit,0,,581.98,15
3551,SHP-03551,74,14,112,2,206,2024-04-21,2024-05-05,2024-05-17,In Transit,12,19553.07,4013.3,610
3552,SHP-03552,134,9,111,14,204,2022-07-10,2022-07-28,2022-07-27,Delayed,0,1552.41,1421.25,324
3553,SHP-03553,248,40,180,3,120,2023-06-08,2023-06-28,2023-06-28,Returned,0,10533.81,1170.33,227
3554,SHP-03554,178,44,52,14,50,2023-08-18,2023-08-27,2023-08-26,Delivered,0,12509.17,268.62,
3555,SHP-03555,191,17,6,10,101,2022-08-19,2022-08-27,2022-08-26,Cancelled,0,13730.47,1120.5,519
3556,SHP-03556,245,51,134,22,121,2021-09-12,2021-10-04,2021-10-15,In Transit,11,3432.53,846.28,48
3557,SHP-03557,131,12,121,11,103,2023-08-29,2023-09-15,2023-09-14,Delivered,0,,3485.05,430
3558,SHP-03558,141,59,20,33,177,2022-04-10,2022-05-04,,Delivered,,12051.28,2192.16,741
3559,SHP-03559,120,27,179,15,70,2021-09-16,2021-10-01,2021-10-13,Delivered,12,16526.59,2628.66,574
3560,SHP-03560,121,15,120,19,86,2022-03-06,2022-03-26,2022-04-03,Delivered,8,15264.73,3184.04,325
3561,SHP-03561,167,53,154,35,7,2023-08-02,2023-08-06,,Cancelled,,5884.35,2276.68,127
3562,SHP-03562,57,29,63,38,175,2023-06-25,2023-06-28,2023-07-05,Returned,7,3275.91,1773.08,782
3563,SHP-03563,56,26,70,13,39,2024-04-26,2024-05-11,2024-05-09,Delivered,0,5585.63,4586.6,926
3564,SHP-03564,216,1,73,10,18,2022-05-14,2022-05-26,2022-05-26,Delivered,0,10122.63,1696.58,514
3565,SHP-03565,169,25,176,29,147,2021-01-08,2021-01-30,2021-01-29,Returned,0,10154.52,345.58,734
3566,SHP-03566,149,34,153,3,183,2022-02-24,2022-03-15,2022-03-15,Returned,0,4363.58,160.42,873
3567,SHP-03567,63,34,19,1,28,2024-03-07,2024-03-23,2024-03-21,Delivered,0,11047.23,2882.32,970
3568,SHP-03568,124,19,65,21,106,2022-01-23,2022-02-05,2022-02-04,Delivered,,7421.18,3577.36,268
3569,SHP-03569,129,56,143,1,193,2022-01-31,2022-02-24,2022-02-24,,0,6782.38,3682.99,850
3570,SHP-03570,222,7,76,12,218,2023-02-06,2023-02-25,2023-02-24,,0,11776.58,746.23,227
3571,SHP-03571,222,19,9,37,104,2022-08-06,2022-08-13,2022-08-11,Delivered,0,15878.82,890.75,161
3572,SHP-03572,22,53,82,37,174,2024-05-27,2024-06-21,2024-06-20,In Transit,0,10292.5,545.7,13
3573,SHP-03573,22,16,187,13,119,2024-01-19,2024-02-09,2024-02-08,Delivered,0,3387.96,177.51,944
3574,SHP-03574,11,29,161,38,49,2023-12-31,2024-01-01,2024-01-19,Delayed,18,21971.69,1154.15,371
3575,SHP-03575,11,41,99,7,1,2021-12-25,2022-01-19,2022-01-19,Returned,,2901.83,1336.97,607
3576,SHP-03576,26,24,28,8,131,2023-11-15,2023-11-27,, ,,2754.16,1273.37,903
3577,SHP-03577,41,47,193,8,56,2021-10-07,2021-10-13,2021-10-17,Delivered,4, ,127.74,200
3578,SHP-03578,10,12,36,7,183,2024-03-11,2024-03-30,2024-03-30,Returned,0,19527.98,602.07,507
3579,SHP-03579,123,33,165,20,170,2022-07-05,2022-07-25,2022-07-28,Delivered,3,18652.11,3412.84,1
3580,SHP-03580,220,37,120,39,202,2022-01-02,2022-01-24,2022-01-23,Delivered,0,18510.55,3095.23,724
3581,SHP-03581,54,47,30,28,177,2024-01-06,2024-01-09,2024-01-09,Delivered,,14454.71,3756.47,283
3582,SHP-03582,105,17,171,23,98,2023-07-03,2023-07-05,2023-07-15,Delivered,10,21168.75,4510.13,141
3583,SHP-03583,145,14,157,30,34,2021-10-26,2021-11-16,2021-11-14,Returned,,3963.9,2167.13,664
3584,SHP-03584,243,54,19,10,119,2023-02-04,2023-02-25,2023-02-25,In Transit,0,9123.2,3094.36,781
3585,SHP-03585,80,50,162,38,117,2024-06-16,2024-06-26,2024-06-24,,,21501.53,1606.01,665
3586,SHP-03586,239,53,16,9,210,2021-03-31,2021-04-15,2021-04-15,Delayed,0,11259.61,4199.39,589
3587,SHP-03587,176,4,26,21,204,2021-10-16,2021-11-03,2021-11-02,Delivered,0,16530.92,1950.98,673
3588,SHP-03588,157,35,48,29,141,2023-06-04,2023-06-28,2023-06-28,Returned,0,2619.05,2037.48,849
3589,SHP-03589,145,33,25,21,211,2021-05-14,2021-05-24,2021-05-24,Delayed,0,17090.77,4217.14,127
3590,SHP-03590,51,14,31,4,183,2022-05-15,2022-05-23,2022-06-04,Returned,12,4663.58,691.76,518
3591,SHP-03591,14,22,138,23,112,2021-12-28,2022-01-22,2022-01-20, ,0,8054.66,,194
3592,SHP-03592,76,49,182,20,222,2023-01-01,2023-01-25,2023-01-24,Cancelled,0,15405.71,3852.74,258
3593,SHP-03593,19,54,26,29,228,2024-02-28,2024-03-23,2024-03-23,Delivered,0,6232.44,4703.1,773
3594,SHP-03594,228,30,76,10,113,2024-03-14,2024-03-24,2024-03-22,Delivered,0,4123.99,703.42,344
3595,SHP-03595,173,25,182,19,18,2024-05-13,2024-05-27,2024-05-27,In Transit,0,7569.66,3955.25,453
3596,SHP-03596,27,8,130,38,187,2023-06-09,2023-06-16,2023-06-16,,0,15892.18,4182.8,357
3597,SHP-03597,223,15,1,4,240,2022-08-02,2022-08-15,2022-08-19,Delayed,4,8334.47,4191.05,913
3598,SHP-03598,194,22,184,26,146,2022-08-28,2022-09-19,2022-09-19,Delivered,0,8781.91,2292.36,374
3599,SHP-03599,158,25,39,24,194,2022-08-09,2022-08-12,2022-08-25,Cancelled,13,7550.5,727.88,740
3600,SHP-03600,119,26,80,1,102,2023-08-30,2023-09-14,2023-09-18,Delivered,4,19527.02,1819.89,770
3601,SHP-03601,158,57,48,18,229,2022-03-12,2022-03-20,2022-03-19,Delivered,0,1944.71,4118.05,400
3602,SHP-03602,135,14,128,39,198,2024-04-12,2024-05-03,2024-05-03,Delivered,0,13253.23,4542.72,426
3603,SHP-03603,242,28,123,25,198,2022-08-06,2022-08-21,2022-08-20,Delivered,0,5515.69, ,482
3604,SHP-03604,170,43,93,20,157,2021-04-03,2021-04-15,2021-05-09,Delivered,24,20486.41,3899.57,689
3605,SHP-03605,134,43,95,29,231,2024-01-12,2024-02-02,2024-02-02,Delayed,0,18628.67,2771.21,
3606,SHP-03606,37,32,26,40,248,2023-03-13,2023-03-23,2023-03-23,Delayed,0,4539.16,1415.66,442
3607,SHP-03607,12,60,126,11,128,2021-10-18,2021-10-21,2021-10-20,In Transit,0,9271.2,3037.05,697
3608,SHP-03608,191,31,161,8,107,2023-10-11,2023-11-05,2023-11-27,In Transit,22,9125.72,2297.79,362
3609,SHP-03609,45,18,177,17,153,2022-06-07,2022-06-08,2022-06-08,Delivered,0,5693.23,3527.71,348
3610,SHP-03610,236,42,123,33,207,2021-06-28,2021-07-13,2021-07-11,Delivered,0,6697.44,365.67,927
3611,SHP-03611,124,1,88,13,212,2021-05-26,2021-06-13,2021-06-30,Delivered,17,374.86,3743.67,783
3612,SHP-03612,79,40,141,39,94,2022-05-24,2022-06-14,2022-06-12,In Transit,0,11828.81,1927.49,413
3613,SHP-03613,178,42,196,2,239,2023-05-04,2023-05-28,2023-05-28,,0,11981.52,2204.55,395
3614,SHP-03614,84,19,135,23,50,2022-06-14,2022-06-16,2022-06-15,Delayed,0,8986.31,3376.47,4
3615,SHP-03615,230,17,175,38,134,2024-03-20,2024-04-03,2024-04-28,Delivered,25,,,866
3616,SHP-03616,195,10,118,37,177,2023-09-20,2023-10-02,2023-10-01,Delivered,0,16813.9,2299.11,552
3617,SHP-03617,233,52,52,4,247,2022-04-16,2022-04-27,2022-04-26,In Transit,0,11957.13,,881
3618,SHP-03618,188,41,103,28,59,2021-09-13,2021-10-02,2021-10-01,Delivered,0,15433.05,2226.17,850
3619,SHP-03619,51,49,51,36,214,2023-06-09,2023-06-16,2023-06-20,Delivered,4,18293.58,2177.33,997
3620,SHP-03620,181,16,70,14,31,2022-12-23,2023-01-05,2023-01-05,In Transit,0,16122.89,299.97,
3621,SHP-03621,204,12,5,21,125,2023-05-28,2023-06-02,2023-06-02,Delayed,0,18780.53,971.93,458
3622,SHP-03622,131,29,9,10,65,2022-09-28,2022-10-18,2022-10-21,Returned,3,8419.66,3056.79,807
3623,SHP-03623,15,31,8,1,197,2023-01-28,2023-02-10,,In Transit,,5208.58,4213.76,655
3624,SHP-03624,168,60,127,5,105,2024-03-28,2024-04-10,2024-04-29,Delivered,19,14211.66,4043.14,285
3625,SHP-03625,63,44,42,14,18,2021-08-20,2021-09-01,2021-08-30,Delivered,0,513.65,405.7,689
3626,SHP-03626,51,22,8,14,186,2022-01-04,2022-01-11,2022-01-24,Delayed,13,9761.71,196.56,609
